City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,minas de marcona,-15.2119,-75.1103,20.19,63,24,7.32,PE,1683656007
132,ilulissat,69.2167,-51.1,0.01,74,75,3.6,GL,1683656269
133,moab,38.5733,-109.5498,24.03,13,1,6.23,US,1683656270
134,fortaleza,-3.7227,-38.5247,31.07,55,20,6.17,BR,1683656099
135,garoua boulai,5.8833,14.55,18.61,95,100,1.05,CM,1683656270
136,la passe,45.5549,-0.8967,17.13,85,26,9.09,FR,1683655971
137,port lavaca,28.615,-96.6261,28.32,85,75,4.63,US,1683656276
138,hilo,19.7297,-155.09,24.04,91,100,2.06,US,1683656239
139,darwin,-12.4611,130.8418,22.99,50,93,4.47,AU,1683656276
140,bredasdorp,-34.5322,20.0403,14.45,92,66,1.78,ZA,1683656155
141,aykhal,66.0,111.5,-5.97,85,77,8.13,RU,1683656277
142,bonthe,7.5264,-12.505,29.64,70,98,4.02,SL,1683656130
143,nagornyy,52.7959,83.5498,12.36,60,100,4.46,RU,1683656278
144,buchanan,5.8808,-10.0467,28.56,77,71,4.1,LR,1683656278
145,tazovsky,67.4667,78.7,-12.7,97,43,2.32,RU,1683656278
146,crane,31.3974,-102.3501,31.31,28,72,5.26,US,1683656085
147,irymple,-34.25,142.1667,6.72,88,0,3.99,AU,1683656279
148,olonkinbyen,70.9221,-8.7187,2.32,100,100,3.72,SJ,1683656284
149,vilyuchinsk,52.9306,158.4028,-0.85,79,100,2.75,RU,1683656285
150,ginir,7.1333,40.7,14.66,91,70,2.19,ET,1683656285
151,stanley,54.868,-1.6985,15.71,80,40,4.12,GB,1683656285
152,point hill,18.0899,-77.1076,29.42,42,99,4.08,JM,1683656286
153,badiyah,22.45,58.8,32.41,21,0,3.6,OM,1683656183
154,heroica caborca,30.7167,-112.15,29.47,14,10,2.63,MX,1683656286
155,luganville,-15.5333,167.1667,24.98,81,85,2.09,VU,1683656287
156,ceeldheer,3.8488,47.1806,27.34,80,51,8.21,SO,1683656287
157,srikakulam,18.3,83.9,29.5,74,61,2.97,IN,1683656287
158,conceicao da barra,-18.5933,-39.7322,26.23,65,86,3.47,BR,1683656288
159,vadso,70.0744,29.7487,4.49,87,100,3.6,NO,1683656288
160,ta`u,-14.2336,-169.5144,27.33,79,94,6.63,AS,1683656205
161,bedminster,40.4259,-75.1791,22.03,38,75,2.06,US,1683656130
162,strezhevoy,60.7333,77.5889,1.09,59,22,3.1,RU,1683656289
163,kiunga,-6.1219,141.2906,23.49,100,100,0.48,PG,1683656290
164,hopelchen,19.7667,-89.85,37.72,22,74,2.53,MX,1683656290
165,hermanus,-34.4187,19.2345,16.36,76,78,1.74,ZA,1683656290
166,carnarvon,-24.8667,113.6333,21.49,80,96,3.76,AU,1683656291
167,mgandu,-5.95,34.1333,18.45,68,54,2.19,TZ,1683656292
168,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,100,100,1.0,RU,1683656052
169,grahamstown,-33.3042,26.5328,13.31,91,37,2.15,ZA,1683656293
170,mullsjo,63.7,19.7,9.94,73,100,3.9,SE,1683656293
171,alofi,-19.0595,-169.9187,22.94,94,34,1.03,NU,1683656043
172,yuzhno-kurilsk,44.0306,145.8556,5.01,93,96,2.7,RU,1683656294
173,hanceville,34.0607,-86.7675,29.7,59,58,3.13,US,1683656295
174,egilsstadir,65.2653,-14.3948,7.95,93,100,3.6,IS,1683656295
175,capinota,-17.7167,-66.2333,24.67,33,97,1.54,BO,1683656295
176,uvinza,-5.1036,30.3911,19.65,92,78,1.0,TZ,1683656296
177,isafjordur,66.0755,-23.124,4.3,95,100,2.4,IS,1683656296
178,lorengau,-2.0226,147.2712,26.62,83,22,0.4,PG,1683656297
179,ibadan,7.3878,3.8964,28.05,70,100,2.42,NG,1683656297
180,ujae,8.9322,165.7642,27.68,81,100,3.97,MH,1683656297
181,pisco,-13.7,-76.2167,23.03,73,20,5.14,PE,1683656298
182,eraan,9.0629,117.7016,25.88,85,18,1.01,PH,1683656298
183,awjilah,29.1081,21.2869,29.43,14,27,6.35,LY,1683656299
184,khorinsk,52.1657,109.7726,9.87,35,87,1.91,RU,1683656299
185,celso ramos,-27.6344,-51.3364,19.53,48,33,1.92,BR,1683656300
186,illizi,26.4833,8.4667,25.89,21,37,7.36,DZ,1683656300
187,paphos,34.7667,32.4167,18.88,82,20,2.57,CY,1683656222
188,pamandzi,-12.7967,45.2794,26.88,78,20,4.12,YT,1683656301
189,chegdomyn,51.1167,133.0167,2.79,78,77,1.21,RU,1683656301
190,kruisfontein,-34.0033,24.7314,14.94,91,55,1.08,ZA,1683656302
191,ulladulla,-35.35,150.4667,9.25,77,0,1.98,AU,1683656302
192,port douglas,-16.4833,145.4667,19.38,64,5,4.0,AU,1683656102
193,ellensburg,46.9965,-120.5479,18.1,50,75,6.17,US,1683656303
194,saldanha,-33.0117,17.9442,16.18,78,86,4.87,ZA,1683656303
195,dhoro naro,25.5,69.5667,34.21,25,0,6.09,PK,1683656304
196,dodge city,37.7528,-100.0171,30.69,42,0,7.2,US,1683656304
197,thunder bay,48.4001,-89.3168,17.99,25,20,5.14,CA,1683656060
198,fale old settlement,-9.3852,-171.2468,28.92,76,16,6.42,TK,1683656305
199,mili,6.0815,171.735,27.35,77,100,1.47,MH,1683656305
200,bondoukou,8.0333,-2.8,28.72,56,82,2.63,CI,1683656306
201,qaqortoq,60.7167,-46.0333,1.36,93,99,1.14,GL,1683656306
202,ladario,-19.0047,-57.6017,24.16,83,75,3.09,BR,1683656297
203,saudarkrokur,65.7461,-19.6394,4.63,98,100,1.5,IS,1683656307
204,afaahiti,-17.75,-149.2833,26.93,76,84,2.67,PF,1683656307
